,league,season,game,week,day,date,time,home_team,home_xg,score,away_xg,away_team,attendance,venue,referee,match_report,notes,game_id
188,ENG-Premier League,2526,2026-01-01 Liverpool-Leeds United,19,Thu,2026-01-01,17:30,Liverpool,2.1,0–0,0.7,Leeds United,60343.0,Anfield,Chris Kavanagh,https://fbref.com/en/matches/148c23a6/Liverpool-Leeds-United-January-1-2026-Premier-League,,148c23a6
189,ENG-Premier League,2526,2026-01-01 Sunderland-Manchester City,19,Thu,2026-01-01,20:00,Sunderland,0.9,0–0,2.1,Manchester City,46920.0,Stadium of Light,Jarred Gillett,https://fbref.com/en/matches/3f843d94/Sunderland-Manchester-City-January-1-2026-Premier-League,,3f843d94
190,ENG-Premier League,2526,2026-01-03 Aston Villa-Nott'ham Forest,20,Sat,2026-01-03,12:30,Aston Villa,1.7,3–1,0.9,Nott'ham Forest,43039.0,Villa Park,Simon Hooper,https://fbref.com/en/matches/4ef85729/Aston-Villa-Nottingham-Forest-January-3-2026-Premier-League,,4ef85729
191,ENG-Premier League,2526,2026-01-03 Bournemouth-Arsenal,20,Sat,2026-01-03,17:30,Bournemouth,1.4,2–3,1.1,Arsenal,11240.0,Vitality Stadium,Chris Kavanagh,https://fbref.com/en/matches/db124c87/Bournemouth-Arsenal-January-3-2026-Premier-League,,db124c87
192,ENG-Premier League,2526,2026-01-03 Brighton-Burnley,20,Sat,2026-01-03,15:00,Brighton,1.4,2–0,0.3,Burnley,31373.0,The American Express Stadium,Tim Robinson,https://fbref.com/en/matches/987e9f89/Brighton-and-Hove-Albion-Burnley-January-3-2026-Premier-League,,987e9f89
193,ENG-Premier League,2526,2026-01-03 Wolves-West Ham,20,Sat,2026-01-03,15:00,Wolves,1.9,3–0,0.3,West Ham,29874.0,Molineux Stadium,Peter Bankes,https://fbref.com/en/matches/9364f40b/Wolverhampton-Wanderers-West-Ham-United-January-3-2026-Premier-League,,9364f40b
194,ENG-Premier League,2526,2026-01-04 Everton-Brentford,20,Sun,2026-01-04,15:00,Everton,0.9,2–4,2.7,Brentford,,Hill Dickinson Stadium,Anthony Taylor,https://fbref.com/en/matches/a67dd0e7/Everton-Brentford-January-4-2026-Premier-League,,a67dd0e7
195,ENG-Premier League,2526,2026-01-04 Fulham-Liverpool,20,Sun,2026-01-04,15:15,Fulham,0.7,2–2,1.4,Liverpool,27547.0,Craven Cottage,Craig Pawson,https://fbref.com/en/matches/a5b3e9ba/Fulham-Liverpool-January-4-2026-Premier-League,,a5b3e9ba
196,ENG-Premier League,2526,2026-01-04 Leeds United-Manchester Utd,20,Sun,2026-01-04,12:30,Leeds United,0.9,1–1,1.6,Manchester Utd,36909.0,Elland Road,Jarred Gillett,https://fbref.com/en/matches/7ecdefc0/Leeds-United-Manchester-United-January-4-2026-Premier-League,,7ecdefc0
197,ENG-Premier League,2526,2026-01-04 Manchester City-Chelsea,20,Sun,2026-01-04,17:30,Manchester City,1.0,1–1,1.8,Chelsea,,Etihad Stadium,Michael Oliver,https://fbref.com/en/matches/989daed4/Manchester-City-Chelsea-January-4-2026-Premier-League,,989daed4
198,ENG-Premier League,2526,2026-01-04 Newcastle Utd-Crystal Palace,20,Sun,2026-01-04,15:00,Newcastle Utd,2.1,2–0,0.7,Crystal Palace,51979.0,St James' Park,John Brooks,https://fbref.com/en/matches/b4262b3c/Newcastle-United-Crystal-Palace-January-4-2026-Premier-League,,b4262b3c
199,ENG-Premier League,2526,2026-01-04 Tottenham-Sunderland,20,Sun,2026-01-04,15:00,Tottenham,1.1,1–1,0.4,Sunderland,60877.0,Tottenham Hotspur Stadium,Stuart Attwell,https://fbref.com/en/matches/06bb7d71/Tottenham-Hotspur-Sunderland-January-4-2026-Premier-League,,06bb7d71
